Unit 245 -> (tensor(0.9941, device='cuda:0', dtype=torch.float16), 1.79443359375)
Unit 246 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 0.9731597900390625)
Unit 247 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 1.92138671875)
Unit 248 -> (tensor(0.9058, device='cuda:0', dtype=torch.float16), 1.97607421875)
Unit 249 -> (tensor(0.9863, device='cuda:0', dtype=torch.float16), 1.9638671875)
Unit 250 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 1.2119140625)
Unit 251 -> (tensor(0.9707, device='cuda:0', dtype=torch.float16), 1.978515625)
Unit 252 -> (tensor(0.9893, device='cuda:0', dtype=torch.float16), 1.89892578125)
Unit 253 -> (tensor(0.9956, device='cuda:0', dtype=torch.float16), 1.05792236328125)
Unit 254 -> (tensor(0.9932, device='cuda:0', dtype=torch.float16), 0.08349609375)
Unit 255 -> (tensor(0.9766, device='cuda:0', dtype=torch.float16), 0.0302734375)
Unit 256 -> (tensor(0.9639, device='cuda:0', dtype=torch.float16), 1.9833984375)
Unit 257 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 1.89306640625)
Unit 258 -> (tensor(0.9956, device='cuda:0', dtype=torch.float16), 0.44384765625)
Unit 259 -> (tensor(0.9644, device='cuda:0', dtype=torch.float16), 0.01416015625)
Unit 260 -> (tensor(0.9980, device='cuda:0', dtype=torch.float16), 0.21484375)
Unit 261 -> (tensor(0.9751, device='cuda:0', dtype=torch.float16), 0.03271484375)
Unit 262 -> (tensor(0.9907, device='cuda:0', dtype=torch.float16), 0.0634765625)
Unit 263 -> (tensor(0.9663, device='cuda:0', dtype=torch.float16), 1.93505859375)
Unit 264 -> (tensor(0.9692, device='cuda:0', dtype=torch.float16), 1.98046875)
Unit 265 -> (tensor(0.9507, device='cuda:0', dtype=torch.float16), 0.06103515625)
Unit 266 -> (tensor(0.9839, device='cuda:0', dtype=torch.float16), 1.97705078125)
Unit 267 -> (tensor(0.9624, device='cuda:0', dtype=torch.float16), 0.03662109375)
Unit 268 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 269 -> (tensor(0.8960, device='cuda:0', dtype=torch.float16), 0.01904296875)
Unit 270 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 0.03857421875)
