
Unit 254 -> (tensor(0.8882, device='cuda:0', dtype=torch.float16), 0.09814453125)
Unit 255 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 0.0322265625)
Unit 256 -> (tensor(0.9712, device='cuda:0', dtype=torch.float16), 1.91357421875)
Unit 257 -> (tensor(0.9463, device='cuda:0', dtype=torch.float16), 1.9677734375)
Unit 258 -> (tensor(0.8540, device='cuda:0', dtype=torch.float16), 1.94482421875)
Unit 259 -> (tensor(0.9009, device='cuda:0', dtype=torch.float16), 0.03857421875)
Unit 260 -> (tensor(0.9199, device='cuda:0', dtype=torch.float16), 1.96044921875)
Unit 261 -> (tensor(0.9570, device='cuda:0', dtype=torch.float16), 1.90625)
Unit 262 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 0.09033203125)
Unit 263 -> (tensor(0.9155, device='cuda:0', dtype=torch.float16), 1.8544921875)
Unit 264 -> (tensor(0.9395, device='cuda:0', dtype=torch.float16), 0.05078125)
Unit 265 -> (tensor(0.9150, device='cuda:0', dtype=torch.float16), 1.931640625)
Unit 266 -> (tensor(0.9541, device='cuda:0', dtype=torch.float16), 1.66748046875)
Unit 267 -> (tensor(0.9614, device='cuda:0', dtype=torch.float16), 1.80859375)
Unit 268 -> (tensor(0.9106, device='cuda:0', dtype=torch.float16), 0.03662109375)
Unit 269 -> (tensor(0.9429, device='cuda:0', dtype=torch.float16), 1.9296875)
Unit 270 -> (tensor(0.9502, device='cuda:0', dtype=torch.float16), 1.95751953125)
Unit 271 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.07080078125)
Unit 272 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.0576171875)
Unit 273 -> (tensor(0.9736, device='cuda:0', dtype=torch.float16), 1.88623046875)
Unit 274 -> (tensor(0.8325, device='cuda:0', dtype=torch.float16), 1.95263671875)
Unit 275 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 1.45361328125)
Unit 276 -> (tensor(0.9629, device='cuda:0', dtype=torch.float16), 0.21484375)
Unit 277 -> (tensor(0.9805, device='cuda:0', dtype=torch.float16), 0.5693359375)
Unit 278 -> (tensor(0.0693, device='cuda:0', dtype=torch.float16), 0.7745361328125)
Unit 279 -> (tensor(0.9912, device='cuda:0', dtype=torch.float16), 0.24658203125)
Unit 280 -> (tensor(0.9648, device='cuda:0', dtype=torch.float16), 1.94580078125)
Unit 281 -> (tensor(0.9805, device='cuda:0', dtype=torch.float16), 0.08203125)
Unit 282 -> (tensor(0.9570, device='cuda:0', dtype=torch.float16), 0.037109375)
Unit 283 -> (tensor(0.8213, device='cuda:0', dtype=torch.float16), 1.83056640625)
Unit 284 -> (tensor(0.9043, device='cuda:0', dtype=torch.float16), 0.04638671875)
Unit 285 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 0.06982421875)
Unit 286 -> (tensor(0.9951, device='cuda:0', dtype=torch.float16), 0.1708984375)
Unit 287 -> (tensor(0.9258, device='cuda:0', dtype=torch.float16), 1.93798828125)
Unit 288 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 0.91748046875)
Unit 289 -> (tensor(0.9399, device='cuda:0', dtype=torch.float16), 0.02978515625)
Unit 290 -> (tensor(0.9233, device='cuda:0', dtype=torch.float16), 0.041015625)
Unit 291 -> (tensor(0.9336, device='cuda:0', dtype=torch.float16), 1.9375)
Unit 292 -> (tensor(0.9482, device='cuda:0', dtype=torch.float16), 1.83642578125)
Unit 293 -> (tensor(0.9341, device='cuda:0', dtype=torch.float16), 0.09814453125)
Unit 294 -> (tensor(0.7935, device='cuda:0', dtype=torch.float16), 1.254638671875)
Unit 295 -> (tensor(0.9507, device='cuda:0', dtype=torch.float16), 0.02197265625)
Unit 296 -> (tensor(0.9751, device='cuda:0', dtype=torch.float16), 1.8759765625)
Unit 297 -> (tensor(0.7944, device='cuda:0', dtype=torch.float16), 0.23291015625)
Unit 298 -> (tensor(0.1522, device='cuda:0', dtype=torch.float16), 1.1749267578125)
Unit 299 -> (tensor(0.9355, device='cuda:0', dtype=torch.float16), 0.04248046875)
Unit 300 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 301 -> (tensor(0.8896, device='cuda:0', dtype=torch.float16), 0.04150390625)
Unit 302 -> (tensor(0.9912, device='cuda:0', dtype=torch.float16), 0.09033203125)
Unit 303 -> (tensor(0.9443, device='cuda:0', dtype=torch.float16), 1.935546875)
Unit 304 -> (tensor(0.9653, device='cuda:0', dtype=torch.float16), 1.87890625)
Unit 305 -> (tensor(0.9355, device='cuda:0', dtype=torch.float16), 1.8037109375)
Unit 306 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 0.1044921875)
Unit 307 -> (tensor(0.9258, device='cuda:0', dtype=torch.float16), 1.9482421875)
